id	map	feature	lang	ref
mdn	78a	Verbal affix or clitic	Mandan	Kennard 1936
mnd	78a	No grammatical evidentials	Mandarin	Li and Thompson 1981
myi	78a	Modal morpheme	Mangarrayi	Merlan 1982
mao	78a	No grammatical evidentials	Maori	Bauer 1993
map	78a	No grammatical evidentials	Mapudungun	Smeets 1989
mku	78a	No grammatical evidentials	Maranungku	Tryon 1970b
mny	78a	No grammatical evidentials	Margany	Breen 1981a
mar	78a	Verbal affix or clitic	Maricopa	Gordon 1986
mrd	78a	Separate particle	Marind	Drabbe 1955
mrt	78a	Verbal affix or clitic	Martuthunira	Dench 1995
mtl	78a	Verbal affix or clitic	Mattole	Li 1930
mau	78a	No grammatical evidentials	Maung	Capell and Hinch 1970
may	78a	No grammatical evidentials	Maybrat	Dol 1999
mei	78a	Verbal affix or clitic	Meithei	Bhat and Ningomba 1997
mgl	78a	Mixed	Mingrelian	Harris 1991
mss	78a	Verbal affix or clitic	Miwok (Southern Sierra)	Broadbent 1964
mth	78a	Verbal affix or clitic	Mixe (Tlahuitoltepec)	Lyon 1967
mxt	78a	No grammatical evidentials	Mixtec (Ayutla)	Hills 1990
mxc	78a	No grammatical evidentials	Mixtec (Chalcatongo)	Macaulay 1996
mxz	78a	No grammatical evidentials	Mixtec (Coatzospan)	Small 1990
mja	78a	Separate particle	Mixtec (Jamiltepec)	Johnson 1988
mxo	78a	Separate particle	Mixtec (Ocotepec)	Alexander 1988
mxs	78a	Separate particle	Mixtec (Silacayoapan)	Shields 1988
moh	78a	Separate particle	Mohawk	Mithun 1986
mtg	78a	Verbal affix or clitic	Montagnais	James et al. 1997
mov	78a	No grammatical evidentials	Movima	Judy and Judy 1967
mun	78a	No grammatical evidentials	Mundari	Osada 1992
mse	78a	No grammatical evidentials	Munsee	Goddard 1979
mrl	78a	No grammatical evidentials	Murle	Lyth 1971
nhh	78a	No grammatical evidentials	Nahuatl (Huasteca)	Beller and Beller 1979
nmi	78a	Verbal affix or clitic	Nahuatl (Mecayapan Isthmus)	Law 1958
nhm	78a	Separate particle	Nahuatl (Michoacán)	Sischo 1979
nmp	78a	No grammatical evidentials	Nahuatl (Milpa Alta)	Whorf 1946b
nhn	78a	Separate particle	Nahuatl (North Puebla)	Brockway 1979
nht	78a	Separate particle	Nahuatl (Tetelcingo)	Tuggy 1979
nav	78a	Separate particle	Navajo	Willie 1996;Willie 1991
ndy	78a	No grammatical evidentials	Ndyuka	Huttar and Huttar 1994
nen	78a	Verbal affix or clitic	Nenets	Perrot 1996
nep	78a	Verbal affix or clitic	Nepali	Michailovsky 1996
nev	78a	Verbal affix or clitic	Nevome	Shaul 1986
nwd	78a	Verbal affix or clitic	Newar (Dolakha)	Genetti 1986
nez	78a	No grammatical evidentials	Nez Perce	Aoki 1970
nti	78a	No grammatical evidentials	Ngiti	Kutsch Lojenga 1994
ngi	78a	Verbal affix or clitic	Ngiyambaa	Donaldson 1980
nsn	78a	Mixed	Nisenan	Eatough 1999
nit	78a	Verbal affix or clitic	Nitinaht	Carlson and Thomas 1979
niv	78a	Verbal affix or clitic	Nivkh	Panfilov 1968
nko	78a	No grammatical evidentials	Nkore-Kiga	Taylor 1985
nbd	78a	No grammatical evidentials	Nubian (Dongolese)	Armbruster 1960
nug	78a	No grammatical evidentials	Nunggubuyu	Heath 1984
nuu	78a	Verbal affix or clitic	Nuuchahnulth	Swadesh 1939
nya	78a	No grammatical evidentials	Nyawaygi	Dixon 1983
oji	78a	No grammatical evidentials	Ojibwa (Eastern)	Bloomfield 1957
omh	78a	Verbal affix or clitic	Omaha	Boas and Swanton 1911
ond	78a	Separate particle	Oneida	Mithun 1986
ood	78a	Verbal affix or clitic	O'odham	Saxton 1982
orh	78a	No grammatical evidentials	Oromo (Harar)	Owens 1985
otm	78a	Separate particle	Otomí (Mezquital)	Hess 1968
